zone_level,support_touches,resistance_touches,total_touches,strength
156.28,903,838,1741,838
156.389,899,838,1737,838
156.347,897,838,1735,838
156.404,894,838,1732,838
150.327,866,838,1704,838
144.237,865,838,1703,838
150.34,858,838,1696,838
144.383,838,850,1688,838
144.384,838,849,1687,838
144.345,846,838,1684,838
144.342,844,838,1682,838
156.384,901,837,1738,837
156.295,899,837,1736,837
156.388,899,837,1736,837
156.337,894,837,1731,837
144.228,867,837,1704,837
144.239,863,837,1700,837
144.238,863,837,1700,837
144.402,837,850,1687,837
144.317,850,837,1687,837
144.381,837,849,1686,837
144.401,837,848,1685,837
144.344,846,837,1683,837
144.424,837,842,1679,837
146.682,983,836,1819,836
156.294,900,836,1736,836
156.39,897,836,1733,836
156.343,893,836,1729,836
156.314,892,836,1728,836
144.375,836,850,1686,836
144.37,836,850,1686,836
144.398,836,847,1683,836
156.407,892,835,1727,835
150.332,861,835,1696,835
144.213,860,835,1695,835
150.343,857,835,1692,835
144.321,847,835,1682,835
144.223,866,834,1700,834
144.221,864,834,1698,834
144.206,863,834,1697,834
144.409,834,848,1682,834
144.328,847,834,1681,834
144.437,834,843,1677,834
144.436,834,843,1677,834
144.417,834,842,1676,834
156.229,909,833,1742,833
156.244,905,833,1738,833
156.247,904,833,1737,833
156.417,889,833,1722,833
144.205,861,833,1694,833
144.327,848,833,1681,833
144.332,847,833,1680,833
144.44,833,842,1675,833
144.441,833,840,1673,833
156.23,909,832,1741,832
156.24,909,832,1741,832
156.232,907,832,1739,832
156.231,907,832,1739,832
144.22,862,832,1694,832
144.218,861,832,1693,832
144.204,859,832,1691,832
150.348,855,832,1687,832
144.181,855,832,1687,832
156.208,907,831,1738,831
156.262,902,831,1733,831
150.35,855,831,1686,831
144.2,855,831,1686,831
144.442,831,840,1671,831
144.447,831,839,1670,831
146.674,982,830,1812,830
144.195,856,830,1686,830
144.199,854,830,1684,830
146.677,982,829,1811,829
150.359,850,829,1679,829
144.45,829,836,1665,829
156.2,906,828,1734,828
156.43,893,828,1721,828
156.424,890,828,1718,828
144.176,858,828,1686,828
150.365,846,828,1674,828
144.46,828,829,1657,828
146.66,984,827,1811,827
146.67,982,827,1809,827
156.193,909,827,1736,827
144.148,872,827,1699,827
144.174,858,827,1685,827
144.459,827,831,1658,827
156.19,908,826,1734,826
