Open,High,Low,Close,Volume ,DATE,Time,is_swing_low,is_swing_high,datetime,ts,support,resistance
147.137,147.705,146.958,147.485,27796.8,2025-03-07,19:00:00,true,false,2025-03-07T19:00:00.000000,1741374000000,146.309,147.568
147.492,148.028,147.481,147.974,28338.74,2025-03-07,20:00:00,false,false,2025-03-07T20:00:00.000000,1741377600000,146.309,147.568
147.974,148.198,147.859,148.033,23497.46,2025-03-07,21:00:00,false,true,2025-03-07T21:00:00.000000,1741381200000,146.619,147.568
148.034,148.115,147.886,147.953,21209.17,2025-03-07,22:00:00,false,true,2025-03-07T22:00:00.000000,1741384800000,146.619,147.568
147.954,148.037,147.84,148.018,5745.47,2025-03-07,23:00:00,false,true,2025-03-07T23:00:00.000000,1741388400000,146.619,147.568
147.908,147.946,147.56,147.56,411.33,2025-03-09,23:00:00,false,false,2025-03-09T23:00:00.000000,1741561200000,146.309,147.568
147.564,147.848,147.474,147.478,9730.8,2025-03-10,00:00:00,false,false,2025-03-10T00:00:00.000000,1741564800000,146.309,147.568
147.479,147.644,147.386,147.585,10956.42,2025-03-10,01:00:00,false,false,2025-03-10T01:00:00.000000,1741568400000,146.309,147.568
147.584,147.647,147.227,147.294,15212.21,2025-03-10,02:00:00,false,false,2025-03-10T02:00:00.000000,1741572000000,146.309,147.568
147.289,147.443,147.088,147.415,14364.4,2025-03-10,03:00:00,false,false,2025-03-10T03:00:00.000000,1741575600000,146.309,147.568
147.414,147.629,147.327,147.599,10174.88,2025-03-10,04:00:00,true,false,2025-03-10T04:00:00.000000,1741579200000,146.309,147.568
147.599,147.754,147.549,147.637,7618.41,2025-03-10,05:00:00,false,false,2025-03-10T05:00:00.000000,1741582800000,146.309,147.568
147.638,147.668,147.538,147.633,6445.24,2025-03-10,06:00:00,false,false,2025-03-10T06:00:00.000000,1741586400000,146.309,147.568
147.633,147.79,147.52,147.521,7097.32,2025-03-10,07:00:00,false,false,2025-03-10T07:00:00.000000,1741590000000,146.309,147.568
147.522,147.754,147.501,147.699,13461.66,2025-03-10,08:00:00,false,false,2025-03-10T08:00:00.000000,1741593600000,146.309,147.568
147.695,147.787,147.498,147.57,16142.94,2025-03-10,09:00:00,false,false,2025-03-10T09:00:00.000000,1741597200000,146.309,147.568
147.573,147.637,147.139,147.184,22118.48,2025-03-10,10:00:00,false,false,2025-03-10T10:00:00.000000,1741600800000,146.309,147.568
147.184,147.358,147.146,147.229,20517.08,2025-03-10,11:00:00,false,false,2025-03-10T11:00:00.000000,1741604400000,146.309,147.568
147.23,147.281,146.914,146.915,20140.07,2025-03-10,12:00:00,false,false,2025-03-10T12:00:00.000000,1741608000000,146.309,147.568
146.915,147.137,146.86,147.124,22898.32,2025-03-10,13:00:00,false,false,2025-03-10T13:00:00.000000,1741611600000,146.309,147.568
147.125,147.148,146.72,147.016,20814.59,2025-03-10,14:00:00,false,false,2025-03-10T14:00:00.000000,1741615200000,146.309,147.568
147.016,147.174,146.768,147.066,32018.63,2025-03-10,15:00:00,false,false,2025-03-10T15:00:00.000000,1741618800000,146.309,147.568
